Accession_position,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588584_z,Vitis_labrusca,4,0.34802067,-0.2072762,1.5541295,1.765448,0.24644569,0.80944616,-1.2803484,1.5041022,1.8710353,1.9349772,1.7931739,0.4250527,-0.5392329,0.93089294,2.722811,-0.9330952,1.2774656,-0.7468432,0.03952441
588648_z,Vitis_labrusca,4,-0.5600505,-0.08298204,1.984302,1.4551927,-1.4435194,0.18994892,-0.8728293,0.7826047,0.40748882,1.9992436,1.7728491,0.046988994,-0.58625513,0.3194938,1.099313,-0.91522264,0.52466327,-0.80215526,0.1474068
1587_z,Vitis_labrusca,4,-0.6513093,-0.057608638,0.4706558,0.51918155,2.0471938,1.5871582,-0.9007984,0.21669425,-0.2248762,2.2963898,1.3194681,-0.1829921,-0.26688072,0.3008392,0.3659801,-0.68287456,0.4121624,-0.7051647,-0.026175871
483162_z,Vitis_labrusca,4,-0.79420424,0.35861856,1.5661511,2.4469814,-1.8908353,0.97150725,-1.8465427,1.144152,0.6328761,3.560003,2.6560023,0.23967838,-0.8572023,1.6010382,1.3368248,-0.92091674,1.04709,-0.8172149,0.41199526
588658_z,Vitis_labrusca,4,-0.4997342,0.28554317,2.3525696,0.24845839,-0.45255023,-0.003526464,-0.39288053,0.8217632,0.94910794,1.1970193,0.91337645,-0.19575468,-0.6124041,1.0779701,0.117029,-0.86965543,0.5831476,-0.8220153,0.747579
588647_z,Vitis_labrusca,4,-0.26013055,-0.15825297,1.5019813,2.518174,-1.4416984,1.3063687,-1.0118634,1.2343562,1.5009193,2.667313,2.3984563,0.47494942,0.8913829,2.1117194,3.4709806,-0.85253996,1.1485373,-0.7872032,0.4855641
483159_z,Vitis_labrusca,4,-0.49117345,-0.66640353,3.578961,-0.253824,-1.1050733,-0.09297695,-0.4788246,0.7346586,-0.08238668,-0.25347468,-0.08841642,0.48894134,0.24817972,0.5471395,0.46108395,-0.84691066,0.77156115,-0.8690092,-0.002510479
483151_z,Vitis_labrusca,4,-0.6810365,-0.46325612,1.0623307,2.9779227,-1.1904428,-0.48507828,-0.84564686,0.77809983,1.8443826,1.000375,1.1395628,0.030164525,-0.5033588,0.83188075,2.259908,-0.76273537,0.66080666,-0.8099215,0.7252717
588675_z,Vitis_labrusca,4,-0.38320056,0.5014091,0.8239559,1.6873176,1.188921,1.0852078,-0.94758445,0.66738254,0.44779658,3.0722568,1.9249164,-0.0816109,0.15511549,0.7743353,1.3049209,-0.8083094,1.0616292,0.4824974,-0.07982692
597172_z,Vitis_labrusca,4,-0.33564577,0.037921,2.3493629,0.8537293,0.019890912,1.0459155,-1.3663822,0.96000046,-0.18533777,2.4978611,1.8891172,-0.10410378,0.09175841,1.9633356,0.11003624,-0.8597395,0.43233952,-0.71018887,0.3487787
