Accession_position,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
594349_x,Vitis_labrusca,4,2.717948,3.6168325,-0.05080849,-0.07638823,0.74415165,-0.25620317,0.79255855,-0.9841594,-0.5472607,-1.1540627,-0.9311056,-0.18016335,1.3254355,-0.026894948,0.30156225,1.4536136,-0.95163214,-0.19721213,-0.17833716
588648_x,Vitis_labrusca,4,-0.7084218,-0.42350212,-0.5954787,-0.30726534,-0.36505646,-1.0477828,0.20939878,-0.62559575,-0.6684362,-1.0334347,-1.2681835,-0.29544422,0.05495423,-0.62176365,-0.43051434,-0.4775537,-0.72705746,-0.71093804,0.16888814
1587_x,Vitis_labrusca,4,0.09791713,1.153003,-0.4773358,0.12894362,-0.22717136,-0.87071013,0.6514906,-1.0245097,-0.86060196,-0.5561236,-0.5262643,-0.44797802,-0.2610654,-0.39697662,0.21484087,0.44957477,-0.89702046,-0.5777804,-0.34342685
588647_x,Vitis_labrusca,4,-0.3321821,0.87947476,-0.71327364,-0.13273555,0.29398662,-0.87833554,1.208612,-1.1379398,-0.9361078,-1.1639898,-1.2034471,0.123535976,0.49231842,-0.033348642,0.09975929,0.18479185,-1.0784776,-0.6929577,-0.20119897
588658_x,Vitis_labrusca,4,-1.1148477,1.1193616,-0.7882143,0.048326094,-0.18730251,-1.1385214,1.1382822,-1.2145364,-1.1419979,-1.0617399,-1.1662921,-0.38937154,-0.005077658,-0.7242238,-0.4265242,-0.051973898,-1.1044457,-0.71537745,-0.06710496
483162_x,Vitis_labrusca,4,-0.48802173,0.5129349,-0.75810957,0.049825206,-0.3014775,-0.37562585,0.46039927,-0.62978625,-0.91857153,-0.6706824,-0.9648731,-0.45357406,0.29781035,-0.5078036,-0.15326256,-0.47513014,-0.6309771,-0.72589487,-0.09501257
588675_x,Vitis_labrusca,4,-1.1059084,0.3908187,-0.6037907,-0.37101027,-0.13355209,-1.0383798,0.7318214,-1.0435702,-0.95083654,-0.99560136,-1.0710942,-0.40713263,0.05520357,-0.27998918,-0.3902259,0.1310007,-0.9269082,0.08686055,-0.4529891
483159_x,Vitis_labrusca,4,0.29145923,0.5343195,-0.10550832,0.5466383,0.1514603,-0.97134763,1.323775,-0.97817117,-0.7053347,-1.1483521,-1.1919991,0.18347532,0.52351946,0.24768949,-0.09693668,0.19299705,-0.9494728,-0.7696747,-0.27167237
483151_x,Vitis_labrusca,4,-1.3160233,0.9366364,-0.81821775,-0.17219952,0.41239622,-0.9338881,1.0161468,-1.0965264,-0.7554135,-0.9753974,-0.8888418,0.030376509,0.9252517,1.0803618,-0.13098039,0.43135923,-1.0790428,-0.7702253,0.5476613
588307_x,Vitis_labrusca,4,0.2497312,2.9428086,-0.3147376,-0.30600324,0.5425783,-0.71733975,1.0586525,-0.95555556,-0.9752965,-0.6753185,-0.6807903,-0.08818001,0.84788483,-0.017424688,-0.58238745,0.52308667,-0.93188137,-0.6008408,0.2893442
588169_x,Vitis_labrusca,4,0.7133398,0.58063364,-0.5721775,-0.069685444,0.46545115,0.03517945,0.5919937,-0.5257573,-0.6239526,-0.609141,-0.55441487,-0.36560318,0.25594378,-0.4939219,-0.15794826,1.2206454,-0.5883786,1.1845522,-0.3202117
597172_x,Vitis_labrusca,4,0.8631043,0.82726425,-0.8325794,0.96143705,0.077010654,-0.9498845,0.7691251,-1.1587392,-1.1686354,-0.9570026,-0.9774077,-0.360874,-0.20180385,-0.56225675,-0.60062194,0.38590053,-1.0975149,-0.6742174,-0.05943465
588277_x,Vitis_labrusca,4,-0.7822146,1.4207056,-0.42880878,0.101358525,0.22822906,-0.6073053,0.8488639,-0.88360965,-0.8593772,-0.94721156,-1.1069471,-0.26920572,0.49109122,-0.6174134,-0.5902106,0.089445926,-0.77147794,-0.781348,-0.22590719
597228_x,Vitis_labrusca,4,0.048803374,1.3311884,-0.7059413,-0.31928626,0.31036428,-0.39662436,0.57198143,-1.1229879,-0.90161,-0.68517536,-0.748914,-0.48226184,-0.028778784,-0.75493896,-0.31337115,-0.5039002,-0.9892967,1.2936218,-0.4392657
597203_x,Vitis_labrusca,4,1.159384,3.924137,-0.5075622,0.25716898,0.91118604,-0.92343575,1.5127074,-1.0052294,-0.6181282,-1.149784,-1.1318483,-0.36171848,0.44811568,-0.24477197,0.35078004,0.88920116,-1.0480989,-0.71373117,0.26062557
483155_x,Vitis_labrusca,4,0.94593084,0.42528254,-0.6104178,-0.028050635,0.16609363,-0.39819217,0.61734855,-0.7771366,-0.8822553,-0.6150057,-0.58693033,-0.366997,0.06831339,-0.4456962,-0.20563832,-0.2053451,-0.6726502,-0.75918597,-0.39139253
588138_x,Vitis_labrusca,4,1.0529132,1.8361504,-0.7748406,1.0352689,0.6552267,-0.42500535,1.2646302,-1.2199963,-0.8298632,-1.0412277,-0.5737374,2.861628,0.5622725,0.27791792,0.85393834,0.4028968,-1.0942882,-0.6857642,-0.07837218
483133_x,Vitis_labrusca,4,1.9992303,1.0390263,-0.543653,-0.108849615,0.050405864,-0.91684365,0.56142944,-0.66457546,-0.8876685,-0.88320065,-0.86007315,-0.22596377,0.13085522,-0.25548616,0.06378212,-0.30608854,-0.7006354,-0.8041345,-0.0676484
483152_x,Vitis_labrusca,4,0.34645745,0.88269925,-0.7480236,0.01197411,0.19503877,-0.753743,0.5791793,-0.8159351,-0.6672656,-0.74092615,-0.8254354,-0.15233572,0.09724711,-0.34462413,-0.078882866,-0.11451778,-0.87274593,-0.8477053,-0.16732368
483145_x,Vitis_labrusca,4,0.06980981,-0.000580463,-0.5230971,0.90825474,-0.13631281,-0.7309202,0.76189065,-1.0452617,-0.4135414,-0.99140006,-1.1113409,-0.26959628,0.21753918,0.1470422,-0.18138032,-0.25094762,-1.0613892,-0.8234509,-0.15148288
483163_x,Vitis_labrusca,4,-0.9733099,-0.83783716,-0.6888197,3.1244266,0.7190247,-0.86683744,1.2640929,-0.9234207,-1.0738612,-1.0473877,-1.0425471,-0.45275402,0.14652032,-0.50956094,-0.66544026,0.07322613,-0.65180653,-0.5934536,-0.10229132
483149_x,Vitis_labrusca,4,0.78547984,0.09377773,-0.58497596,0.06764781,0.5558423,-0.72691375,0.38043216,-0.8876409,-0.71551067,-0.87159014,-0.96600664,0.010197517,0.8357586,-0.102840506,-0.18769865,-0.040557772,-0.9961433,-0.8398737,-0.05488619
483150_x,Vitis_labrusca,4,-1.2492672,-0.36532807,-0.78552544,0.41748875,-0.07844522,-0.65125334,0.8158402,-1.2114397,-0.7441929,-0.92102414,-0.8907373,-0.24177402,0.35562697,-0.54727376,-0.4410604,-0.057371896,-1.1020988,-0.77056235,-0.30289084
483147_x,Vitis_labrusca,4,-1.2941751,0.043720633,-0.7481703,0.088679,-0.01286185,-0.5067985,0.14883961,-0.77924705,-0.784901,-0.36815083,-0.4318615,0.28309903,0.20314,0.10100639,-0.16890052,-0.056693844,-0.7978737,-0.7637107,-0.011377025
483154_x,Vitis_labrusca,4,2.970824,1.5115379,-0.6745724,0.11676584,0.0744245,-0.14395712,0.88602805,-0.89417195,-0.602075,-0.573032,-0.523585,-0.3731613,-0.18219252,-0.35935706,-0.3110967,-0.093157135,-0.781091,-0.77529615,-0.17985296
588194_x,Vitis_labrusca,4,0.6063881,0.29100373,-0.700555,-0.022148406,0.32379866,-0.6486438,0.82069755,-1.0418675,-0.83007914,-0.90185106,-0.8960552,-0.123881854,0.41855624,-0.49089596,-0.4499579,0.19467269,-1.0511786,-0.15428843,-0.3097258
