INVO,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588054,Vitis_riparia,6,1.4170067,-0.104530506,-0.97199166,-0.14787652,-0.5823026,-0.99247986,-0.5325885,-0.49729124,0.033563733,-0.70160925,-0.93645173,-0.13370202,-0.83309376,-0.7121848,-0.5920308,-0.47827595,-0.6587761,-0.66913193,-0.15871905
588455,Vitis_riparia,6,-0.05796656,-1.2260771,-0.8373827,0.36806217,-1.20022,-0.5142989,1.7981498,-0.852339,-0.84672064,-1.066168,-1.1390426,0.12370535,-1.011947,-0.27207643,-0.45452645,0.03661204,-0.7470319,-0.69526005,0.09359455
483173,Vitis_riparia,6,3.009934,0.12848452,0.37522858,0.49095652,0.29058468,0.8894525,-1.5389112,-0.31725577,0.93041277,0.11990543,0.67533696,-0.22148715,-0.38645148,0.6292793,-0.38671806,1.2125167,0.22054684,-0.1064955,-0.73027736
588568,Vitis_riparia,6,1.4865727,0.5942709,0.13828132,-0.04453439,0.6962267,0.71920335,0.72390354,-0.61689967,-0.4950709,-0.6005997,-0.5434501,-0.588814,-0.9638996,-0.72324187,-0.1477939,0.7317665,-0.55297256,-0.29446536,-0.9837633
483172,Vitis_riparia,6,-0.7679428,-0.8726217,-1.0755336,0.87785596,-0.43112293,0.16403186,-1.5081164,-0.7927835,-0.41676316,-0.22233628,-0.09966155,-0.52979994,-1.103928,0.03967942,0.09213176,1.5462266,-0.62666255,0.46744716,-0.5849093
588354,Vitis_riparia,6,-0.6695103,-0.53806484,-0.9340646,-0.72831374,-0.4480194,0.52118206,0.903285,0.38337803,-1.1749437,0.0818126,-0.1643208,-0.48409325,-0.77749556,-0.5315553,-0.5000804,1.3831241,0.4157409,-0.17341627,-0.5675996
588272,Vitis_riparia,6,-0.64032537,-0.97862613,-0.44299647,-0.7338048,-0.12540264,3.0125902,-0.65769464,0.28464526,0.82604027,0.32040384,0.22439428,-0.44690448,-0.86217856,0.83495134,-0.078123026,-1.0614225,0.748902,-0.2356245,-0.5684336
588374,Vitis_riparia,6,0.2149378,-0.4911131,-0.40434608,-1.1140795,-0.27683857,1.381787,0.6286634,0.38409021,1.0887357,0.18408537,-0.32439414,-0.3389765,-1.4440384,-0.5588707,-0.29438722,-1.0371406,0.040484406,-0.45083463,-0.89281535
588346,Vitis_riparia,6,-1.0600303,-0.5847715,0.43673545,-0.768694,1.5913577,2.3341315,1.3809832,0.23911986,1.111708,-0.26683283,-0.5013309,-0.51911664,-0.3687742,0.19193316,-0.2065224,-0.96243334,-0.5112529,0.2540307,-0.9945884
588373,Vitis_riparia,6,0.5951994,1.558388,0.09699126,-0.93635905,0.7308218,1.4120357,-1.9707576,-0.18014559,4.45397,-0.120357476,-0.055630453,-0.42810258,-0.745314,-0.46829295,-0.16045868,-0.35359567,-0.337376,0.13379008,-0.5655845
588406,Vitis_riparia,6,-1.0080928,0.27384186,1.1563901,0.66374743,-0.5900731,1.313452,1.4817369,2.9302964,0.4501557,0.9824515,0.44325954,-0.56645215,-1.3217279,0.28184432,0.31280604,-0.91753024,3.3001583,-0.41484225,-0.74771374
588404,Vitis_riparia,6,1.5927591,0.039403494,-0.7459421,-0.97659254,0.11289671,0.64161706,-0.055980906,-0.94821334,-0.90481615,-0.869205,0.002124285,-0.3185923,-1.2356461,-0.75704956,-0.48834157,0.43637228,-1.012154,-0.23243338,-0.9029281
588259,Vitis_riparia,6,0.08605441,-0.55088943,-1.0352349,-1.1678565,0.12842834,0.17154674,-0.021337468,0.060080487,-0.13623518,-0.43529367,-0.4568203,-0.36288857,-0.5330381,0.72667795,0.59470046,-0.06505723,-0.3563819,-0.19327335,-0.9195061
588260,Vitis_riparia,6,-1.0468161,-1.0697943,-0.578246,-1.3708321,-0.17767555,0.9020943,-0.040435366,-0.008213963,-0.5520539,-1.0248061,-1.1108763,-0.6366655,-1.2639384,0.1262021,-0.17436026,-0.64926064,-0.28422466,-0.51251036,-0.84563667
588436,Vitis_riparia,6,2.1124442,0.091319226,-0.11967122,-0.4388885,0.30017334,1.3423212,1.0186533,0.6516532,-0.18349484,-0.9856795,-0.9680005,-0.6395858,-0.027587706,2.8215659,-0.0812362,0.6476149,0.99817806,1.3211801,-0.40191945
588400,Vitis_riparia,6,-1.094672,0.003719325,-0.38660592,-0.35444677,0.003309967,1.7933517,-1.77427,1.0708051,0.4910093,0.6428989,0.5746785,-0.46288335,-0.97982985,-0.34304506,-0.65601766,0.21176875,0.8704518,0.3888536,0.05682448
588261,Vitis_riparia,6,-0.25269404,-1.0025358,-0.8111339,-1.3785942,-0.74684817,-0.4444806,0.72809505,-0.6135665,-0.91499996,-1.1949669,-1.3802214,-0.5381179,-1.157488,1.436777,-0.2999281,-0.5002781,-0.5058666,-0.49656767,-0.8669604
588344,Vitis_riparia,6,-0.39034054,-0.1079844,-0.067990035,-0.97335273,0.63163555,1.5205647,0.5418379,0.5867131,1.3485645,0.43354404,0.72889346,-0.35879627,-0.7724504,-0.52487737,-0.32927936,-0.15259247,0.66016775,-0.6143045,-0.9394973
279897,Vitis_riparia,6,-0.99513394,-0.19383182,0.577788,-0.68882203,0.27527225,-0.09188976,-0.20256291,1.8939524,-1.097095,-0.29468316,-0.4965197,-0.5520183,-1.3613493,-0.70486164,-0.53315276,0.36000916,1.8791386,-0.47729802,-0.80401134
588304,Vitis_riparia,6,0.9156532,0.67850506,-0.039834827,-0.90653443,0.84924966,1.4676465,0.77031773,1.1063821,0.33927757,0.11419823,0.46223384,-0.54254615,-1.0676763,-0.65267646,-0.31039655,-0.08838666,2.3307467,-0.18135518,-0.99754715
588437,Vitis_riparia,6,0.74934345,-0.24372064,-0.93218434,0.37628895,-0.14115405,-0.10851472,0.8587534,0.08063404,0.04952613,-0.89973587,-0.89195484,-0.6269199,-1.0540353,1.0144994,0.08717787,0.66935074,-0.11683531,-0.08768583,-0.42674628
588349,Vitis_riparia,6,-0.8879399,-1.105579,-0.25741714,-1.0498775,-0.34893706,2.9472978,-0.4456849,1.6634781,1.0825229,0.1386318,-0.18704242,-0.47797674,-0.8316086,0.20024046,-0.5098016,-1.1373317,1.7954252,-0.35141468,-0.69433296
588350,Vitis_riparia,6,-1.0176989,-0.5440727,-0.3672239,-0.87515974,0.94274926,0.7905361,-0.4012037,-0.53113025,-0.07950607,-1.011092,-0.9813394,-0.5835173,-0.909736,0.3591462,-0.3358176,-0.442069,-0.57934165,0.16975051,-1.0711763
588262,Vitis_riparia,6,0.31152153,-0.979626,0.46275812,-0.36121583,0.5355596,1.5240844,1.6913354,-0.60110813,0.32242236,0.2481737,0.2869989,-0.33532846,0.027277093,1.955229,0.07840348,0.39004472,-0.7245822,-0.30635932,-0.86584616
588270,Vitis_riparia,6,-0.19947168,-0.88403517,0.5490188,-0.5839446,0.88262415,1.2625082,1.6933588,0.35491794,0.061973907,-0.54731387,-0.6021528,-0.55321133,-0.88237053,-0.29588482,-0.6060257,-0.95839953,0.46418437,-0.048841648,-0.76349515
588181,Vitis_rupestris,7,1.9515634,-0.4534567,0.7825635,-0.7694626,1.6744809,-2.0669892,1.5699261,-0.6720913,-0.16930495,-1.3094478,-1.1780821,-0.5592968,0.37650684,-0.16040185,,1.9484867,-0.7992492,-0.22823186,-0.34522378
588146,Vitis_rupestris,7,0.6437265,0.26892275,-0.33815363,-1.5164886,0.48424298,0.21242903,1.1917423,-1.0600681,-0.73403674,-1.1859412,-1.084876,-0.54189223,0.21266283,-0.7217407,-0.36509594,1.0977579,-0.87409097,-0.42801905,-0.696368
588355,Vitis_rupestris,7,0.1767507,-0.9740618,-0.67025876,-1.4002256,0.4551816,0.0435616,1.5440832,-1.0880136,-0.77052516,-0.050431415,-0.06428924,-0.42650154,0.9274422,-0.6795825,-0.44203058,-0.3936512,-0.7363101,0.20906565,-0.5416949
588147,Vitis_rupestris,7,1.9330293,-0.5014955,0.66289073,-0.2008092,1.7512909,-0.031607307,2.3539078,-0.77094525,-0.18459585,-1.0310773,-0.22214226,0.15280606,1.0365334,1.6327555,0.054803323,4.9087987,-0.68567383,-0.48352757,1.5057707
588188,Vitis_rupestris,7,-0.48297018,0.23576252,2.0595968,-1.2017158,1.9647099,-0.74714065,2.0026402,-0.49753523,-0.4824321,-0.4363645,-0.549684,-0.38414565,0.94935673,-0.53393656,0.18968752,0.8752331,1.1525973,-0.4963611,1.4688215
271662,Vitis_rupestris,7,-0.8097796,-0.2237997,-0.6503209,-0.47885287,-0.30766338,-1.3150343,-1.4745876,-1.1069349,-0.5063181,0.73668486,0.3577856,-0.44047338,-0.044744734,-0.2287969,-0.2082274,0.001019575,-1.2223895,0.44904122,-0.7748586
588330,Vitis_rupestris,7,-0.58108395,-0.81605005,-0.41409963,-1.1870489,0.9391785,0.49169692,0.29286653,-0.7431923,-0.5120404,0.096246235,-0.15510894,-0.42136478,0.7439039,-0.20352457,-0.027633835,0.46642235,-0.6161842,0.38932392,3.2499337
588224,Vitis_rupestris,7,0.8120879,-0.6129613,-0.6574798,-1.4000496,0.5241672,-1.1229033,-0.058098827,-0.66041917,-0.78431857,-1.2021543,-1.3943863,-0.52160394,0.32808107,-0.32913446,-0.33483723,-0.6045748,-0.57498837,-0.23160517,0.21324544
