Accession_position,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588220_y,Vitis_cinerea,3,0.21508491,-0.19296737,0.7564908,-0.740708,1.7210771,1.3594971,0.32764605,0.35145608,0.82416,-0.03983497,0.20074949,0.41335154,1.9638627,-0.22949693,-0.60364646,-0.01981563,1.0852985,1.4696559,-0.095687404
588222_y,Vitis_cinerea,3,-0.33215022,-0.7831823,0.07252726,-0.83859396,-0.1153056,0.43285993,0.7166947,0.49051556,0.7762402,-0.14472014,0.14192519,0.5420142,1.2588071,-0.6662985,-0.37293324,-0.40508395,0.7343537,0.7484612,0.328116
588173_y,Vitis_labrusca,4,-0.010717406,-0.45063618,0.26872128,-0.63898325,0.4363663,0.90708804,0.71563524,-0.5423879,-0.6832345,-0.47753507,-0.04450935,0.010822646,1.1213672,-0.33915633,0.6252653,0.06351877,-0.54711175,-0.8249099,0.124773875
588182_y,Vitis_labrusca,4,0.008680204,-0.6866223,0.1670714,-0.67869353,-0.60160506,0.18921863,0.38610846,-0.48820964,-0.42196688,-0.7017412,-0.6389254,-0.13381454,0.6740312,-0.7444919,-0.3586345,-0.3542795,-0.36009848,-0.73813033,-0.09051887
588165_y,Vitis_labrusca,4,-0.5516351,0.00205307,0.021840198,-0.519968,1.0493217,0.9553711,1.4665669,-0.7832973,-0.64206475,-0.047260847,-0.020318061,-0.020674536,0.15787297,0.24850422,0.11879569,0.4064912,-0.795387,-0.826719,-0.020540703
588128_y,Vitis_labrusca,4,-0.52039415,-0.069640085,-0.17312333,-0.76922023,-0.13566756,1.5950743,-0.45201427,-0.5350311,-0.23645234,-0.45046076,-0.42402762,-0.28701985,0.650268,-0.77103513,0.09791502,-0.33315143,0.18952265,1.6672728,0.058583193
483160_y,Vitis_labrusca,4,-0.06734631,-0.21171278,0.12518322,-0.6198218,0.15050362,1.7388693,0.16764674,-0.12998393,-0.5287993,0.38779604,0.4913667,0.04690414,1.588701,0.09058224,-0.033168513,-0.42047337,-0.0730285,-0.7978624,0.27234015
483161_y,Vitis_labrusca,4,-0.68335444,-0.6920294,0.21017087,-0.8540445,-0.41970348,0.8794355,0.09256094,0.008864739,-0.59814644,-0.3879054,-0.36161682,-0.17128381,0.31454983,-0.8143189,-0.047843207,-0.26593184,0.20155236,-0.8836643,-0.08221467
483148_y,Vitis_labrusca,4,-0.4682958,-0.72483015,0.30660728,-0.89630514,-0.6389229,-0.36339593,0.35785702,-0.28022608,-0.59347457,-0.65100044,-0.8381847,-0.17656745,0.6141748,-0.84228516,-0.58260757,-0.74954337,-0.20849356,-0.8506107,-0.06841702
483164_y,Vitis_labrusca,4,-0.52190876,-0.45310387,0.06071654,-0.76691335,0.41427878,0.14928629,-0.113493115,-0.45340568,-0.67469716,-0.15309645,0.7762491,-0.01043957,1.0625848,-0.4083983,0.102657,-0.19668093,-0.43659204,-0.85211945,-0.15960585
588584_y,Vitis_labrusca,4,-0.083608285,-0.7084343,0.10092688,-0.36604804,-0.78820837,0.5362167,-0.27458408,0.12946914,0.024515895,0.60284436,0.59126776,0.094130486,-0.34829122,-0.010426255,0.48001727,-0.8660003,0.031577896,-0.7824608,-0.000182718
588648_y,Vitis_labrusca,4,-0.6713721,-0.7192951,-0.000121947,-0.8464778,-0.72949445,-0.4443828,0.3232662,-0.40952688,-0.82896703,-0.7605321,-0.9024472,-0.36396572,0.35249275,-1.0883301,-0.3413583,-0.6869468,-0.32183933,-0.7567653,-0.18475388
594349_y,Vitis_labrusca,4,0.20908952,0.98122835,-0.40302315,-0.54022324,0.9203541,-0.30659032,1.4246972,-0.995827,-0.7001255,-0.8033438,-0.57302606,-0.21434473,1.1752458,-0.2669773,-0.01842242,1.341046,-0.89775497,-0.27078214,-0.20392588
588583_y,Vitis_labrusca,4,1.0250881,0.15269044,-0.5732657,-0.3622429,0.70338625,0.41440994,1.7614174,-1.1271822,-0.96898896,-0.75354326,-0.82592076,0.21417002,0.38767076,-0.6209952,1.9012232,-0.08689569,-0.9869912,-0.6912546,0.022892522
588585_y,Vitis_labrusca,4,0.29794642,-0.48810557,-0.3585425,-0.791014,-0.5748925,-0.5251976,0.50346833,-0.62706316,-0.64133924,-0.57575476,-0.72305644,-0.10655724,0.54696125,-0.8130912,-0.41242152,-0.46242392,-0.5769653,-0.84931725,-0.08033806
1587_y,Vitis_labrusca,4,-0.76800376,-0.64060086,-0.7675289,-0.7963222,-0.41187903,-0.89513975,-0.30737478,-1.100779,-1.1089908,-0.54696554,-0.63937575,-0.44959402,-0.43705556,-0.9274476,-0.40169397,-0.28695896,-0.8936857,-0.7085967,-0.33569923
483162_y,Vitis_labrusca,4,-0.21729481,-0.38594553,-0.57945,-0.77439696,-1.2011101,-0.70852715,0.08226641,-0.32399794,-1.2150706,-0.33482963,-0.51203245,-0.34284484,0.075316444,-0.5191317,0.6575372,-0.6915493,-0.27425164,-0.7741903,0.007475294
483151_y,Vitis_labrusca,4,-0.46393782,-0.3878176,-0.3294576,-0.6559876,-0.3025066,-0.085801095,0.3487598,-0.26421207,-0.6656954,-0.024807654,-0.13115506,-0.22535154,0.2676451,-0.49835563,0.17961058,-0.29801863,-0.22350326,-0.78136754,0.42432496
483159_y,Vitis_labrusca,4,-0.30553138,-0.1501697,0.29824567,-0.4138468,0.2734761,-0.16865906,1.57902,-0.7835153,-0.9926236,-0.8316168,-0.810961,0.21491191,0.853075,-0.40891954,-0.20006436,-0.14938383,-0.6961371,-0.81814665,-0.23422413
588658_y,Vitis_labrusca,4,-0.81523114,-0.64846903,-0.011826065,-0.66970956,-0.045807756,-0.88523656,0.639464,-0.58225155,-1.2500178,-0.8418581,-0.86467427,-0.38796806,-0.09634717,-0.82517564,-0.58439064,-0.533033,-0.54392433,-0.7867469,0.049615115
588675_y,Vitis_labrusca,4,-0.7214332,0.12286599,-0.37662297,-0.6869119,0.59497464,-0.6082032,0.44408637,-0.7418514,-1.408664,-0.77195597,-0.8971597,-0.3600677,0.25321707,-1.038013,-0.6741868,-0.28098992,-0.5690986,0.06742617,-0.32291302
588647_y,Vitis_labrusca,4,0.06159383,-0.31002304,-0.3859054,-0.45959336,-0.18831763,-0.62525576,1.7743543,-0.48601446,-0.8835433,-0.8415919,-0.67765427,0.05136734,1.1151795,-0.35983086,0.62504923,-0.1838355,-0.4018616,-0.7523723,0.048853662
588277_y,Vitis_labrusca,4,-1.0593091,-0.7794919,-0.2666448,-0.8349463,-0.55844116,-0.591586,0.3394854,-0.6115671,-1.1673521,-0.643072,-0.7943021,-0.4084873,0.16321081,-0.8962997,-0.56796664,-0.37508747,-0.38198128,-0.82991594,-0.004239357
597172_y,Vitis_labrusca,4,-0.80566496,-0.6548154,-0.2735144,-0.7094134,0.038551938,-1.001352,0.15327115,-0.74202967,-1.417253,-1.0970738,-1.1641822,-0.45751548,-0.19095822,-0.84344643,-0.555005,-0.15533568,-0.7790114,-0.7071967,-0.12140949
597203_y,Vitis_labrusca,4,-0.90346384,-0.7184109,0.25538555,-0.41737023,-0.5748184,-0.9181519,-1.0886415,-0.4187245,-0.9656445,-0.88596183,-0.8847085,-0.36685538,-0.4033987,-0.548916,-0.40815765,-0.5447009,-0.4642584,-0.77412075,-0.000471047
597228_y,Vitis_labrusca,4,-1.0761986,-0.87221235,0.28435197,-0.89376193,0.5312779,0.51032585,-0.47161913,-0.1753672,-1.1755834,-0.61727977,-0.77741396,-0.42079228,-0.15501694,-0.9775166,-0.5765304,-0.87018615,0.2965293,0.79496324,-0.28431964
588138_y,Vitis_labrusca,4,-0.1139294,-0.507896,-0.3928473,-0.8128252,0.11879385,0.019207684,0.7337611,-0.5101143,-0.7506843,-0.7426467,-0.31702572,1.0682977,0.57087725,-0.48052773,0.3547897,-0.09253415,-0.5003834,-0.7733787,0.039710682
588307_y,Vitis_labrusca,4,-0.50842714,-0.50558573,0.003249032,-0.8731491,-0.40370294,-0.05439928,0.06516944,-0.60491085,-1.1582066,-0.59794956,-0.6350009,-0.27519017,0.37284288,-0.875715,-0.5823407,-0.18467563,-0.3846145,-0.752656,0.26518872
483157_y,Vitis_labrusca,4,-0.031164454,1.6564502,-0.21833938,-0.6164753,0.4133885,-0.24505241,0.15203008,-0.60073024,-0.69891274,-0.5742079,-0.8689246,-0.31620753,-0.2938623,-0.9248283,-0.58737636,-0.7459194,-0.6225788,-0.90417373,-0.14303406
483154_y,Vitis_labrusca,4,-0.5583079,-0.7649282,0.06905851,-0.8628403,-1.4117565,-0.49557322,-0.11295203,0.35179144,-0.5984095,-0.1356731,-0.46745023,-0.29962474,-0.67828894,-0.6932793,-0.39120123,-0.7645909,0.7427787,-0.85188496,0.39148378
588169_y,Vitis_labrusca,4,-0.60716367,-0.8975621,0.23301266,-0.6311362,-0.8623241,-0.61621326,-1.4548213,0.28116754,-0.65810025,-0.490995,-0.45790988,-0.4458223,-0.5589972,-0.61572015,-0.5949607,-0.5750431,0.3680361,0.46228865,-0.23516244
483152_y,Vitis_labrusca,4,-0.16814819,-0.5359632,-0.4326037,-0.8716742,-0.45761627,-0.886641,0.09062596,-0.59208345,-1.0172652,-0.71906066,-0.86333746,-0.30344358,-0.093740426,-0.76441544,-0.1301115,-0.51091933,-0.55409807,-0.886013,-0.16951185
483149_y,Vitis_labrusca,4,-0.0923266,-0.36187798,0.10879049,-0.45194113,0.07586409,0.7682458,0.21725108,-0.15184881,-0.44389406,-0.27166176,-0.46436444,-0.16700572,0.4936519,-0.39286092,-0.18297927,-0.37871534,-0.38530508,-0.8502539,0.03558118
483150_y,Vitis_labrusca,4,-0.9431391,-0.80978644,-0.3234406,-0.8092157,-0.48008627,-0.67243534,0.017644145,-0.69063175,-1.037289,-0.6856104,-0.6896485,-0.3317184,0.3655741,-1.0454752,-0.23695523,-0.61733025,-0.38980916,-0.8330692,0.11994518
483147_y,Vitis_labrusca,4,0.25223163,-0.70660293,0.07376763,0.7228097,-0.8976001,-0.014177393,-0.25942853,-0.13001297,-0.918683,-0.35614562,-0.36717072,-0.020296145,-0.20820938,-0.58805066,-0.19426872,-0.5301098,-0.021399908,-0.8284092,-0.05364666
483155_y,Vitis_labrusca,4,-0.8623305,-0.65625715,0.030791411,-0.5005345,-0.96260065,-0.55531144,0.21094857,-0.43539596,-0.8139737,-0.37939215,-0.21820754,-0.23759456,-0.11758633,-0.36835793,-0.13499464,-0.7224899,-0.21310475,-0.81211525,-0.21346729
588194_y,Vitis_labrusca,4,0.23143668,-0.20316082,-0.10344173,-0.61822116,-0.09869546,-0.16043101,0.44766808,-0.67349267,-0.7835168,-0.010008588,0.08440652,-0.11251799,0.87327915,-0.5688472,-0.2180334,-0.3086346,-0.5857061,-0.33988938,-0.20467271
483163_y,Vitis_labrusca,4,-0.20758043,-0.6159646,-0.40347484,-0.60594964,1.0350316,-0.31722817,1.3764998,-0.842995,-1.2336621,-0.6475334,-0.7185918,-0.45944205,0.25313845,-0.66902685,-0.54126245,-0.13612962,-0.84218436,-0.5849987,-0.14720619
483153_y,Vitis_labrusca,4,-0.5935832,-0.662331,-0.007602051,-0.9192837,-0.16762543,-0.6009403,-0.07032676,0.1503077,-0.9736197,-0.6462343,-0.57778263,-0.23107828,0.5954199,-0.582306,-0.52807766,-0.6372075,0.41263336,-0.82137,-0.048209313
483146_y,Vitis_labrusca,4,-0.41437337,-0.7314578,0.896594,-0.7758684,-1.1006806,-0.552388,-0.7580472,0.087906934,-0.49019545,-0.714414,-0.46736246,-0.031464007,0.556218,-0.61781573,-0.02460225,-0.7498054,0.093703136,-0.84467286,0.20149513
483133_y,Vitis_labrusca,4,-0.35971603,-0.53195804,0.9040429,-0.7408068,-0.8023603,-1.0249254,-0.41339147,0.20219456,-0.4741298,-0.45427892,0.062258393,-0.031701412,0.50501055,0.25441918,0.5505168,-0.7246222,0.1474422,-0.8034524,0.15311925
483145_y,Vitis_labrusca,4,-0.30044788,-0.6755746,0.07631731,-0.69476545,-0.15418465,-0.735267,0.5974104,-0.67818075,-0.864904,-0.57190865,-0.6172951,-0.3532386,0.28290072,-0.8098397,-0.3571286,-0.6335443,-0.65865064,-0.8500528,-0.20468505
588201_y,Vitis_palmata,5,-0.36766988,-0.536858,-0.66477865,-0.70484513,-0.12908933,-0.18891141,0.38292062,-0.9575955,-0.521274,-0.33988786,3.1881173,3.9553668,-0.14159714,-0.63704365,-0.319033,0.46631607,-0.83152175,-0.6847301,0.24170299
588152_y,Vitis_palmata,5,-0.69805104,-0.3673402,-0.5648448,-0.21255465,1.03817,0.07545701,0.31237808,-1.0580086,-0.9990979,-0.3005319,0.6448765,2.9081864,-0.1034642,-0.6712344,-0.38944772,0.5178311,-1.0174317,-0.5422849,0.07931797
588155_y,Vitis_palmata,5,-0.8792367,-0.6081742,-0.7915977,2.0732396,0.8134321,0.066318914,0.6323766,-0.9500936,-0.6945521,-0.31494528,0.023357328,0.43213636,-0.39867252,-0.39234045,0.9564538,0.48110366,-0.62933373,-0.34279576,-0.22583729
588233_y,Vitis_palmata,5,-1.056594,-0.47065872,-0.37125164,-0.7165286,0.98925626,0.54786396,-0.6764882,0.2914678,-0.5024265,0.52852434,0.94773567,0.33475542,-0.36187795,-0.49070695,-0.068809524,-0.60282236,0.24423373,-0.6762665,-0.33360222
588467_y,Vitis_palmata,5,-0.8546552,-0.32154793,-0.6834764,-0.6473572,0.05460436,-0.6193061,0.8082891,-1.1635783,-1.2057248,-0.09251148,0.38095933,1.4626508,-0.36145377,-0.7587351,-0.85386145,-0.14453022,-1.0510952,-0.6427738,-0.24408366
588440_y,Vitis_riparia,6,-0.26802042,-0.49823698,-1.0925828,-0.8503016,-1.2486793,0.34694076,-0.7453545,-0.39759764,-0.3534356,-0.61094517,-0.6892651,-0.45432714,-0.5059182,-1.0738587,-0.48806375,-0.5694924,-0.35123512,0.26630726,-0.07689089
588190_y,Vitis_riparia,6,-0.10092231,-0.71812326,-0.58491933,-0.7845491,0.3858809,1.6256195,1.3577267,-0.51268786,0.9782713,-0.5053269,0.5638776,-0.3615416,-0.45767385,-0.9321031,-0.44710588,0.7052496,-0.63572645,-0.07705973,-0.23770529
588276_y,Vitis_riparia,6,-0.40854,-0.59082407,-0.6617861,-0.8181831,0.05403717,2.0216875,-0.23014975,0.042115342,0.21770419,-0.23647755,-0.49153316,-0.31427783,-0.28202692,-0.92020094,-0.8136542,-0.011979115,0.09820963,-0.06684458,-0.4636797
588214_y,Vitis_riparia,6,0.1513348,-0.7116959,-0.30497125,-0.75707126,-0.80384797,0.8784357,-0.39015856,-0.12593794,-0.16926922,-0.36892992,-0.4348362,-0.35805327,-0.7458403,1.5863298,0.18256523,1.7240663,-0.20150457,0.3526395,-0.26371115
