INVO,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588395,Vitis_rupestris,7,1.267119765,-0.122997813,1.082074761,-1.368131042,0.858117104,-0.327778012,-1.082202315,0.093550928,-1.308550596,-0.533573449,-0.531047881,-0.352727056,-0.291493148,-0.992164075,-0.890844762,-0.0510052,0.358275533,0.417451084,-0.244541138
588223,Vitis_rupestris,7,-1.060073495,0.366048098,-0.256356895,-0.258375853,-0.442203254,-1.074986458,-0.440804243,-1.650818706,-0.604101539,-0.317638785,-0.003399547,-0.136214554,0.774104714,1.114447951,-1.407458901,1.083904147,-1.749230146,-0.740988195,-0.222559527
588142,Vitis_vulpina,8,0.31960991,-0.665462732,-0.038893536,-0.156512737,0.71758455,0.710529149,0.55595082,1.025241017,-0.362399071,-0.510815442,-0.743175685,-0.355764776,-0.618864059,3.32819581,-0.291705489,0.499399245,0.748681188,1.733933449,0.113222472
588680,Vitis_vulpina,8,-0.674760759,-0.386947691,0.780142546,0.41923517,-0.667330623,1.370065331,-0.258203238,-0.221672565,1.491073132,0.848517656,1.113732457,-0.164929062,0.528389812,0.426631957,0.322646588,0.137334555,-0.432106823,-0.667164087,0.024812039
588679,Vitis_vulpina,8,0.512518644,-0.667918861,-0.783486247,-0.558760762,0.348917961,0.206938818,0.317975998,-0.542406976,-0.443591416,0.344906867,0.514733195,-0.235198185,1.42062664,0.513271868,0.338658005,0.415155858,-0.763366342,-0.686409354,-0.227535293
588133,Vitis_vulpina,8,-0.222803816,-0.553217828,-0.176013052,-0.694396317,0.268295795,-0.41422686,-0.925717533,0.433023602,-0.649204254,-0.326963425,-0.559471905,-0.280890167,-0.018567428,-0.15387103,-0.720023811,-0.473895252,0.249543026,0.395157039,0.20384869
483180,Vitis_vulpina,8,-0.476926446,-0.982803643,-1.388937235,-0.272074312,-0.134818092,-1.391575098,-0.408012122,-1.611003876,-1.157941937,-1.819026113,-1.359974384,-0.250983089,-0.531181574,-1.91146481,-0.760251045,-0.72418648,-1.307721734,-0.743884504,0.134523511
597115,Vitis_vulpina,8,-0.753589034,-1.402090311,-0.81714046,-1.448873878,0.596506596,-0.263469368,-0.305897206,0.581080914,-0.750627816,-0.50538826,-1.062731862,-0.369735658,-0.250324667,-1.214356303,-0.964932144,-0.599589884,0.430467278,0.087717913,-0.061156899
483190,Vitis_vulpina,8,-1.219191074,-1.259539843,-1.104844689,-1.044307232,-1.120672107,-0.357244968,-0.232700065,-0.372711957,-1.024860263,-0.519709408,-1.174382687,-0.397104234,-0.779219091,-0.863462865,-0.60224396,-0.982699156,0.143113375,-0.793751359,-0.118365459
483187,Vitis_vulpina,8,1.70474112,0.397026986,0.077162422,1.063002944,-1.352594137,-0.398634464,0.534235358,-0.732800663,0.531057239,0.656901419,0.789303601,-0.131555364,-0.471151471,0.98802495,2.621742964,-0.492629588,-0.616259098,-0.750484884,0.182723328
483184,Vitis_vulpina,8,-1.072019577,-0.740231335,-1.220163703,0.003174856,-0.887363851,-0.692938387,-0.479941249,-0.578381658,-0.474222183,-0.844359577,-0.511445761,-0.304499358,-0.256624073,-0.925461411,-0.548440814,-0.574133813,-0.751913965,0.317252398,-0.108722776
483188,Vitis_vulpina,8,1.009419918,-1.043702483,-0.270947069,-0.918384969,-1.067076564,-1.576538324,0.270601273,-1.060778856,-0.550291777,-1.293604374,-1.166543722,-0.336695969,-0.199774891,-1.195796251,-0.687977612,-0.407667726,-1.108204961,0.301596344,-0.259568632
483186,Vitis_vulpina,8,-1.203481555,-0.760208905,-0.821289361,0.015122074,0.372618675,-1.113349319,-0.403032571,-1.197792292,0.479201645,-1.508567333,-1.323382616,-0.35928452,0.346957207,-1.25536406,-0.608969688,-0.318973303,-1.124474406,-0.727458119,0.013043866
588123,Vitis_sp_candicans_or_hyb_candicans,,-0.277707726,-0.758446097,0.162890509,-1.045725703,2.718034029,-0.062062677,-0.154155746,0.377688855,-1.3781358,-0.720003843,-0.622721493,-0.285356611,0.072359189,-0.34363994,-0.914514899,0.174223378,0.512005031,0.291204393,-0.296851307
588282,Vitis_sp_riparia_vulpina,,0.383039027,0.649524093,0.040162496,1.388096571,-0.174343705,1.414467573,0.187730789,4.042057037,0.599433482,2.445065737,1.900846362,-0.135506868,-0.307594508,3.303854227,0.611967325,1.05170548,2.8215518,-0.258537352,0.032754887
588508,Vitis_sp_unknown_NY,,1.525823116,0.396277905,-0.40259707,-0.416902483,0.101547591,-0.421719193,-0.291929156,1.117777228,-0.486370683,0.578481734,0.034259412,-0.303739816,-0.722105503,-0.180774957,-0.839540422,0.41447261,0.839639127,-0.453727514,-0.068049267
588549,Vitis_sp_unknown_NY,,0.492205054,-0.300504684,-0.762491226,3.141155481,-0.433671355,0.149594694,1.211167693,-0.912621737,-0.860476375,0.055412315,0.05321997,-0.277683526,0.533177257,-0.196694523,0.313199461,0.572019398,-1.152515531,-0.724308133,-0.210328847
588501,Vitis_sp_unknown_PA,,-0.821239233,-0.087769687,2.327305079,1.236978889,0.952101886,0.626578689,-0.577527404,0.393375397,-0.295328707,1.986666679,2.736603022,0.031284116,-0.033927847,0.710533679,1.390554905,-0.53186965,0.03209893,-0.808817148,0.337540299
588628,Vitis_sp_unknown,,-0.828318298,0.155971467,0.004587373,-0.418428153,-0.642134249,-0.778205454,-0.594566047,-0.719512641,0.165228546,-0.714572012,-0.32518959,-0.266617447,-0.274044186,-0.142446697,0.518973947,-0.37274909,-0.707686901,-0.102315076,-0.210407987
588529,Vitis_sp_unknown_NY,,-0.15041627,-0.886320829,0.081379406,-0.818754852,-0.927521467,-0.835008264,0.335737646,0.131579563,-0.329511404,-1.302142024,-0.90019989,0.010051655,-0.0394173,1.015779614,-0.076773152,-0.587862432,0.86359787,-0.8175596,-0.0381734
588476,Vitis_sp_unknown_NY,,-1.078770638,-0.525912523,-0.446171671,-0.822727859,3.651893377,1.845040679,1.279171109,0.482003301,-1.092474341,-0.610711694,-0.886638999,-0.342172831,0.726221859,-0.989632308,-0.904471815,-0.092649139,0.400006086,-0.0289129,-0.195525005
588392,Vitis_x_andersonii_v. coignetiae x v. riparia (vulpina),,-0.697545111,0.29799965,-0.253374726,0.410464585,1.346143961,-0.565839171,-0.758820593,-0.576025724,0.091329515,-0.746144593,0.340819329,-0.323211789,-0.621888101,-0.547565937,0.395302385,-0.281473815,-0.627902329,-0.350134641,-0.085886836
588391,Vitis_x_champinii_v. mustangensis x v. rupestris,,-0.52482599,-0.933564663,0.347382933,-1.09397912,-0.579251111,-1.067687154,0.090696119,0.527467012,-0.913842738,-1.17495358,-0.994893193,-0.331969678,-0.512999892,-0.958613575,-1.236839652,-0.473036289,0.350278646,0.186133906,-0.206561327
588371,Vitis_x_champinii_v. mustangensis x v. rupestris,,-0.110751554,0.201889485,0.178069696,0.346021175,-0.341100454,0.962191343,-0.422215044,1.42877984,0.702144623,1.950518012,1.113205314,-0.032728057,0.103507586,0.21296142,1.839621902,-0.916266561,0.69535774,-0.776717782,0.318293691
588149,Vitis_x_doaniana_v. mustangensis x v. acerifolia,,-0.225609973,0.468845159,-0.596798301,1.427034855,0.015517698,-1.781472087,-0.797238767,0.16237399,-0.003313576,-1.02254653,-0.756416023,-0.298642308,-0.331984222,-0.581820786,0.411815643,0.951730728,5.208815098,0.64562571,-0.234613374
,Vitis_x_novae-angliae_v. labrusca x v. riparia,,,,,,,,,,,,,,,,,,,,
